2	0.03298988	prolog.exe	IRP_MJ_CREATE	Npdrv2	SUCCESS	Options: Open 	
29	0.00000984	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
30	0.00001028	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
31	0.00000984	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
32	0.00001084	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
33	0.00001032	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
34	0.00000976	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
35	0.00000996	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
36	0.00001104	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
37	0.00010076	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
38	0.00001088	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
39	0.00000972	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
40	0.00000948	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
41	0.00006232	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
42	0.00009760	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
43	0.00001064	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
44	0.00001108	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
45	0.00007288	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
46	0.00001212	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
47	0.00001072	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
48	0.00000972	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
49	0.00006132	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
50	0.00001148	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
51	0.07293912	prolog.exe	IOCTL_SERIAL_PURGE	Npdrv2	SUCCESS	Purge: RXABORT RXCLEAR	
52	0.00001076	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 9: 10 FF 3F 00 00 00 00 C1 16 	
53	0.09981252	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 10 	
54	0.00000360	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: FF 	
55	0.00000204	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 3F 	
56	0.00000208	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 3: 54 2B 0A 	
57	0.00000200	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 38 	
58	0.00000184	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 16 	
59	0.20322372	prolog.exe	IOCTL_SERIAL_PURGE	Npdrv2	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
60	0.00000868	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
61	0.00001076	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
62	0.00001336	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
63	0.00001272	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
64	0.00000896	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
65	0.00003708	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
66	0.00001216	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
67	0.00002468	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
68	0.00001256	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
69	0.00000988	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
70	0.00009016	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
71	0.00000984	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
72	0.00001088	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
73	0.00001040	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
74	0.00001016	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
75	0.00001012	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
76	0.00001036	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
77	0.00009456	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
78	0.00001124	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
79	0.00001072	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
80	0.00000960	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
81	0.00001068	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
82	0.00009144	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
83	0.00001108	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 1: FF 	
84	0.07298224	prolog.exe	IOCTL_SERIAL_PURGE	Npdrv2	SUCCESS	Purge: RXABORT RXCLEAR	
85	0.00008724	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 14: 10 FF 90 01 00 05 00 3F 00 00 00 00 32 3A 	
86	0.14968612	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 10 	
87	0.00000192	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: FF 	
88	0.00000116	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 90 	
89	0.00000112	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 4: 01 00 04 00 	
90	0.00000112	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 6: 3F 54 2B 0A C1 65 	
91	0.00005460	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 14: 10 FF 90 00 00 05 00 42 03 00 00 00 7E 39 	
92	0.13983600	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 10 	
93	0.00000568	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: FF 	
94	0.00000184	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 90 	
95	0.00000184	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 4: 00 00 01 00 	
96	0.00000184	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 3: 42 34 63 	
97	0.00000272	prolog.exe	IOCTL_SERIAL_GET_BAUD_RATE	Npdrv2	SUCCESS		
98	0.00000116	prolog.exe	IOCTL_SERIAL_GET_LINE_CONTROL	Npdrv2	SUCCESS		
99	0.00000112	prolog.exe	IOCTL_SERIAL_GET_CHARS	Npdrv2	SUCCESS		
100	0.00000100	prolog.exe	IOCTL_SERIAL_GET_HANDFLOW	Npdrv2	SUCCESS		
101	0.00142520	prolog.exe	IOCTL_SERIAL_SET_BAUD_RATE	Npdrv2	SUCCESS	Rate: 19200	
102	0.00000196	prolog.exe	IOCTL_SERIAL_SET_RTS	Npdrv2	SUCCESS		
103	0.00000104	prolog.exe	IOCTL_SERIAL_SET_DTR	Npdrv2	SUCCESS		
104	0.00000116	prolog.exe	IOCTL_SERIAL_SET_LINE_CONTROL	Npdrv2	SUCCESS	StopBits: ERROR Parity: NONE WordLength: 8	
105	0.00000120	prolog.exe	IOCTL_SERIAL_SET_CHAR	Npdrv2	SUCCESS	EOF:0 ERR:0 BRK:0 EVT:0 XON:0 XOFF:0	
106	0.00847780	prolog.exe	IOCTL_SERIAL_SET_HANDFLOW	Npdrv2	SUCCESS	Shake:1 Replace:40 XonLimit:0 XoffLimit:0	
107	0.00000284	prolog.exe	IOCTL_SERIAL_SET_QUEUE_SIZE	Npdrv2	SUCCESS	InSize: 4096 OutSize: 1024	
108	0.14488468	prolog.exe	IOCTL_SERIAL_PURGE	Npdrv2	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
109	0.00000884	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 14: 10 FF 90 00 00 05 00 3F 00 00 00 00 D9 19 	
110	0.02984508	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 10 	
111	0.00000532	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: FF 	
112	0.00000184	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 90 	
113	0.00000188	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 4: 00 00 04 00 	
114	0.00000184	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 6: 3F 54 2B 0A 86 B6 	
115	0.00001464	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 40: 10 FF 90 02 00 1F 00 72 4A 03 00 07 00 4A 03 00 06 00 4A 03 00 40 20 4A 03 00 42 20 4A 03 00 03 00 4A 03 00 04 00 B0 77 	
116	0.07951208	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 10 	
117	0.00000528	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: FF 	
118	0.00000192	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 90 	
119	0.00000184	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 4: 02 00 2B 00 	
120	0.00000208	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 45: 72 16 05 35 35 31 35 30 16 01 30 41 04 6E D7 00 00 04 10 BE AD A1 1A 74 59 D0 43 B9 42 75 75 AD 35 A8 8A 16 02 30 31 16 02 30 30 96 1C 	
121	0.00001448	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 20: 10 FF 90 03 00 0B 00 72 4A 03 00 01 04 4A 03 00 00 04 B1 F0 	
122	0.03948120	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 10 	
123	0.00000336	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: FF 	
124	0.00000188	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 90 	
125	0.00000184	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 4: 03 00 0D 00 	
126	0.00000204	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 15: 72 48 04 1D 09 0F 01 47 04 00 0E 07 10 E7 F1 	
127	0.00009840	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 15: 10 FF 90 04 00 06 00 72 4A 03 00 00 00 CE 5D 	
128	0.02929300	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 10 	
129	0.00000332	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: FF 	
130	0.00000128	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 90 	
131	0.00000128	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 4: 04 00 04 00 	
132	0.00000140	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 6: 72 16 01 30 D3 38 	
133	0.00001128	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 37: 10 FF 90 05 00 1C 00 61 04 05 FF FF 01 00 50 49 08 0F 09 1D 10 00 00 00 00 49 08 0F 0A 06 0F 3A 20 DA 01 B2 12 	
134	0.11943496	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 10 	
135	0.00000228	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: FF 	
136	0.00000132	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 90 	
137	0.00000140	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 4: 05 00 70 00 	
138	0.00991704	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 114: 61 49 04 0F 09 1D 10 30 81 62 41 04 63 00 00 00 05 00 05 00 05 00 05 00 05 00 05 00 05 00 05 00 05 00 05 00 05 00 05 00 05 00 05 00 05 00 05 00 43 04 00 00 00 00 43 04 00 00 00 00 43 04 00 00 00 00 43 04 00 00 00 00 43 04 00 00 00 00 43 04 00 00 00 00 43 04 00 00 00 00 43 04 00 00 00 00 4B 04 00 00 00 00 4B 04 00 00 00 00 49 00 30 00 4E 28 	
139	0.00005724	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 37: 10 FF 90 06 00 1C 00 61 04 05 FF FF 02 00 50 49 08 0F 09 1D 10 00 00 00 00 49 08 0F 0A 06 0F 3A 20 DA 01 F6 C5 	
140	0.11971108	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 10 	
141	0.00000540	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: FF 	
142	0.00000140	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 90 	
143	0.00000160	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 4: 06 00 70 00 	
144	0.00982724	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 114: 61 49 04 0F 09 1D 10 30 81 62 41 04 63 00 00 00 05 00 05 00 05 00 05 00 05 00 05 00 05 00 05 00 05 00 05 00 05 00 05 00 05 00 05 00 05 00 05 00 43 04 00 00 00 00 43 04 00 00 00 00 43 04 00 00 00 00 43 04 00 00 00 00 43 04 00 00 00 00 43 04 00 00 00 00 43 04 00 00 00 00 43 04 00 00 00 00 4B 04 00 00 00 00 4B 04 00 00 00 00 49 00 30 00 2F E3 	
145	0.00011376	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 37: 10 FF 90 07 00 1C 00 61 04 05 FF FF 01 01 50 49 08 00 01 01 00 00 00 00 00 49 08 0F 0A 06 0F 3A 20 FF 02 DE 4B 	
146	0.04923016	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 10 	
147	0.00000380	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: FF 	
148	0.00000200	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 90 	
149	0.00000180	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 4: 07 00 05 00 	
150	0.00000200	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 7: 61 49 00 30 00 2A 56 	
151	0.00008964	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 37: 10 FF 90 08 00 1C 00 61 04 05 FF FF 02 01 50 49 08 00 01 01 00 00 00 00 00 49 08 0F 0A 06 0F 3A 20 FF 02 05 D7 	
152	0.04944220	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 10 	
153	0.00000184	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: FF 	
154	0.00000116	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 90 	
155	0.00000112	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 4: 08 00 05 00 	
156	0.00000108	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 7: 61 49 00 30 00 B2 02 	
157	0.00010820	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 37: 10 FF 90 09 00 1C 00 61 04 05 FF FF 01 03 50 49 08 00 01 01 00 00 00 00 00 49 08 0F 0A 06 0F 3A 20 68 03 B9 61 	
158	0.04970004	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 10 	
159	0.00000180	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: FF 	
160	0.00000116	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 90 	
161	0.00000112	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 4: 09 00 05 00 	
162	0.00000112	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 7: 61 49 00 30 00 59 21 	
163	0.00004380	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 37: 10 FF 90 0A 00 1C 00 61 04 05 FF FF 02 03 50 49 08 00 01 01 00 00 00 00 00 49 08 0F 0A 06 0F 3A 20 68 03 FD B6 	
164	0.04981004	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 10 	
165	0.00000176	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: FF 	
166	0.00000116	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 90 	
167	0.00000112	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 4: 0A 00 05 00 	
168	0.00000108	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 7: 61 49 00 30 00 74 65 	
169	0.00000512	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 37: 10 FF 90 0B 00 1C 00 61 04 05 FF FF 01 04 50 49 08 0F 09 1D 0F 0F 01 00 00 49 08 0F 0A 06 0F 3A 20 D1 03 0B 7A 	
170	0.06946684	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 10 	
171	0.00000472	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: FF 	
172	0.00000192	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 90 	
173	0.00000188	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 4: 0B 00 1E 00 	
174	0.00000200	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 32: 61 49 08 0F 09 1D 0F 0F 01 00 00 16 0D C2 FB EF EE EB ED E5 ED 20 CF D3 D1 CA 49 00 30 00 EA 62 	
175	0.00001412	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 37: 10 FF 90 0C 00 1C 00 61 04 05 FF FF 02 04 50 49 08 0F 09 1D 0F 0F 01 00 00 49 08 0F 0A 06 0F 3A 20 D1 03 3A 94 	
176	0.14944628	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 10 	
177	0.00000188	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: FF 	
178	0.00000116	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 90 	
179	0.00000108	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 4: 0C 00 1E 00 	
180	0.00000112	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 32: 61 49 08 0F 09 1D 0F 0F 01 00 00 16 0D C2 FB EF EE EB ED E5 ED 20 CF D3 D1 CA 49 00 30 00 0E FA 	
181	0.00005344	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 37: 10 FF 90 0D 00 1C 00 61 04 05 FF FF 01 06 50 49 08 00 01 01 00 00 00 00 00 49 08 0F 0A 06 0F 3A 21 E9 00 29 3B 	
182	0.04919004	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 10 	
183	0.00000536	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: FF 	
184	0.00000188	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 90 	
185	0.00000188	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 4: 0D 00 05 00 	
186	0.00000176	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 7: 61 49 00 30 00 C5 CE 	
187	0.00001480	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 37: 10 FF 90 0E 00 1C 00 61 04 05 FF FF 02 06 50 49 08 00 01 01 00 00 00 00 00 49 08 0F 0A 06 0F 3A 21 E9 00 6D EC 	
188	0.04951012	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 10 	
189	0.00000500	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: FF 	
190	0.00000188	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 90 	
191	0.00000188	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 4: 0E 00 05 00 	
192	0.00000200	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 7: 61 49 00 30 00 E8 8A 	
193	0.00001260	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 70: 10 FF 90 0F 00 3D 00 72 4A 03 00 00 00 4A 03 00 01 00 4A 03 00 02 00 4A 03 00 03 00 4A 03 00 04 00 4A 03 00 05 00 4A 03 00 06 00 4A 03 00 07 00 4A 03 00 08 00 4A 03 00 09 00 4A 03 00 0A 00 4A 03 00 0B 00 6E FA 	
194	0.11939164	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 10 	
195	0.00000212	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: FF 	
196	0.00000116	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 90 	
197	0.00000112	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 4: 0F 00 41 00 	
198	0.00000124	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 67: 72 16 01 30 16 08 31 31 2D 30 34 2D 32 36 16 08 30 39 2D 30 37 2D 31 35 16 02 30 31 16 02 30 30 16 01 31 16 01 30 16 05 35 35 31 35 30 16 01 30 16 05 30 30 2D 30 30 16 05 30 30 2D 30 30 16 01 30 71 5C 	
199	0.00000560	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 70: 10 FF 90 10 00 3D 00 72 4A 03 00 0C 00 4A 03 00 0D 00 4A 03 00 0E 00 4A 03 00 0F 00 4A 03 00 10 00 4A 03 00 11 00 4A 03 00 12 00 4A 03 00 13 00 4A 03 00 14 00 4A 03 00 15 00 4A 03 00 16 00 4A 03 00 17 00 AD 13 	
200	0.10954828	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 10 	
201	0.00000380	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: FF 	
202	0.00000196	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 90 	
203	0.00000188	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 4: 10 00 33 00 	
204	0.00000196	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 53: 72 16 03 31 2E 30 16 01 30 16 01 30 16 01 30 16 02 31 31 16 01 30 16 01 30 16 06 39 39 39 39 39 39 16 07 2D 39 39 39 39 39 39 16 01 30 16 01 30 16 01 30 44 66 	
205	0.00008852	prolog.exe	IRP_MJ_WRITE	Npdrv2	SUCCESS	Length 70: 10 FF 90 11 00 3D 00 72 4A 03 00 18 00 4A 03 00 19 00 4A 03 00 1A 00 4A 03 00 20 20 4A 03 00 40 20 4A 03 01 00 00 4A 03 01 01 00 4A 03 01 02 00 4A 03 01 03 00 4A 03 01 04 00 4A 03 01 05 00 4A 03 01 06 00 57 F5 	
206	0.12929200	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 10 	
207	0.00000180	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: FF 	
208	0.00000108	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 1: 90 	
209	0.00000108	prolog.exe	IRP_MJ_READ	Npdrv2	SUCCESS	Length 4: 11 00 52 00 	
